"","...1","fundamentalismo","desconfia","E179WVS","partido","proMERCADO"
"192",713,0.593445823140181,0.593320418444628,152004,"DC",0.222222222222222
"193",714,0.466879911497685,0.593320418444628,152004,"DC",0.444444444444444
"194",716,0.537476986556682,0.4966943057987,152004,"DC",0.333333333333333
"195",717,0.537476986556682,0.518939720367832,152004,"DC",0.222222222222222
"196",718,0.537476986556682,0.123055945641993,152004,"DC",0
"197",719,0.578105338156291,0.421178791890567,152004,"DC",0.444444444444444
"198",720,0.898923606234956,0.571078440772718,152004,"DC",0.222222222222222
"199",721,0.644597113151643,0.306305141365717,152004,"DC",0.111111111111111
"200",722,0.615130427306883,0.407117674588755,152004,"DC",0
"201",723,1,0.593320418444628,152004,"DC",0.444444444444444
"202",724,0.568075267119058,0.593320418444628,152004,"DC",0.444444444444444
"203",725,0.703009566485103,0.503285404922833,152004,"DC",0
"204",726,0.440401346864467,0.568262788993821,152004,"DC",0.333333333333333
"205",727,0.435924233146139,0.539244593039207,152004,"DC",0.111111111111111
"206",728,1,0.593320418444628,152004,"DC",0.444444444444444
"207",729,0.659574816171898,0.481691911100841,152004,"DC",0.222222222222222
"208",730,0.609963689613654,0.768494479716418,152004,"DC",0.222222222222222
"209",731,0.302750972048442,0.858144152344609,152004,"DC",0.555555555555556
"210",732,0.498297895350758,0.368724099202284,152004,"DC",0
"211",733,0.273988054111437,0.726171886943082,152004,"DC",0
"212",734,0.460734724436625,0.692835726050298,152004,"DC",0
"213",735,0.578299420409531,0.531194715972731,152004,"DC",0.444444444444444
"214",737,1,0.3748504055267,152004,"DC",0.555555555555556
"215",738,0.57031416732588,0.481691911100841,152004,"DC",0
"216",739,0.609963689613654,0.768494479716418,152004,"DC",0.222222222222222
"217",740,0.201747301538302,0.564849182854524,152004,"DC",0.111111111111111
"218",741,0.472269529298685,0.314583727323192,152004,"DC",0.555555555555556
"219",742,0.846406878238007,0.475171916984574,152004,"DC",0.555555555555556
"220",743,0.703009566485103,1,152004,"DC",0.444444444444444
"221",744,0.470919630147194,0.555921567406441,152004,"DC",0.666666666666667
"222",745,0.364990809707181,0.546163672279462,152004,"DC",0.111111111111111
"223",746,0.319921939378179,0.569204755760442,152004,"DC",0.333333333333333
"224",748,0.759186941310895,0.440688623128581,152004,"DC",0.555555555555556
"225",749,0.673924875810694,0.363777808986806,152004,"DC",0.555555555555556
"226",751,0.777302634595343,0.475237193616166,152004,"DC",0.555555555555556
"227",752,0.615130427306883,0.555270964868648,152004,"DC",0.111111111111111
"228",753,1,0.593320418444628,152004,"DC",0.111111111111111
"229",754,0.732269430973391,0.601075223963021,152004,"DC",0.444444444444444
"230",755,0.319921939378179,0.726171886943082,152004,"DC",0
"231",756,0.66700550283337,0.511288536264441,152004,"DC",0.333333333333333
"232",757,0.276000228046001,0.636895960230826,152004,"DC",0.111111111111111
"233",758,0.719935174139524,0.294758109603167,152004,"DC",0.444444444444444
"234",759,1,0.768494479716418,152004,"DC",0.222222222222222
"235",760,0.759186941310895,0.661082485942987,152004,"DC",0.222222222222222
"236",761,0.793886574950472,0.321046880162168,152004,"DC",0.222222222222222
"237",762,0.77615867155355,0.61532729280998,152004,"DC",0.444444444444444
"238",763,0.898923606234956,0.284977574350755,152004,"DC",0.333333333333333
"239",764,0.275156346735146,0.555921567406441,152004,"DC",0.666666666666667
"240",765,0.567481950287772,0.761131031428241,152004,"DC",0
"241",766,0.302017702054922,0.722663649349298,152004,"DC",0
"242",767,0.666058263488881,0.234412628169972,152004,"DC",0.222222222222222
"243",768,0.435924233146139,0.568262788993821,152004,"DC",0.444444444444444
"244",769,0.35867844807793,0.692835726050298,152004,"DC",0.111111111111111
